unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,is higher lower
1617577200,2021-04-05 00:00:00,BTC/USD,58156.0,58316.42,57810.51,58212.18,2884822.116,49.5570191,0
1617588000,2021-04-05 03:00:00,BTC/USD,57793.88,58401.0,57450.0,57600.48,3715410.709,64.50312061,0
1617598800,2021-04-05 06:00:00,BTC/USD,57276.19,57735.61,56881.32,56957.77,5998656.568,105.3176163,1
1617609600,2021-04-05 09:00:00,BTC/USD,57252.74,57384.75,56800.0,57155.27,3966652.248,69.40133864,1
1617620400,2021-04-05 12:00:00,BTC/USD,57691.92,57759.96,56994.72,57744.19,4087048.954,70.7785312,1
1617631200,2021-04-05 15:00:00,BTC/USD,58139.74,59188.7,57750.0,59188.7,16080807.23,271.6871165,0
1617638400,2021-04-05 17:00:00,BTC/USD,59040.0,59280.0,58843.88,58975.6,12195123.92,206.7825325,0
1617645600,2021-04-05 19:00:00,BTC/USD,58969.57,59080.0,58599.45,58902.18,8449516.263,143.4499752,0
1617652800,2021-04-05 21:00:00,BTC/USD,59065.52,59106.06,58762.6,58776.52,4294483.602,73.06461155,1
1617663600,2021-04-06 00:00:00,BTC/USD,58874.44,59125.0,58470.58,59125.0,3870916.329,65.47004362,0
1617670800,2021-04-06 02:00:00,BTC/USD,59332.25,59473.9,58713.26,58807.18,5966276.378,101.4548968,0
1617692400,2021-04-06 08:00:00,BTC/USD,58805.87,59036.34,58349.99,58562.17,5684760.302,97.07222772,0
1617696000,2021-04-06 09:00:00,BTC/USD,58582.46,58924.02,58150.0,58480.45,10692565.43,182.8399991,0
1617703200,2021-04-06 11:00:00,BTC/USD,58660.86,58765.95,58363.12,58386.88,6676406.236,114.3477137,1
1617710400,2021-04-06 13:00:00,BTC/USD,58511.98,59029.26,58331.43,58469.23,8390975.613,143.5109649,0
1617717600,2021-04-06 15:00:00,BTC/USD,58362.37,58683.6,57216.0,57925.01,30913000.66,533.6727722,1
1617724800,2021-04-06 17:00:00,BTC/USD,57844.11,58210.76,57625.17,58091.92,6486110.882,111.6525479,1
