unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,next close,awesomeOscillator,percentageOscillator,momentumStochRSI,ultimateOscillator,avgTrueRange,mAVG,ADX,MACD,weightedAVG,close_copy
1582416000,2020-02-23 01:00:00,BTC/USD,9668.13,9719.99,9616.18,9697.57,461313.8,47.65,9864.66,-165.75641176470708,-0.7783161841071776,0.4228029272629295,-5.967163141899536,81.1166609724255,9814.663,19.997993087984455,-76.14366542131756,9678.19822222222,9697.57
1582430400,2020-02-23 05:00:00,BTC/USD,9818.49,9956.55,9672.02,9864.66,6686364.62,675.25,9878.31,-120.0245882352956,-0.5917280398603443,1.0,20.836072166175796,93.8211851886808,9804.396,19.10476924733644,-57.92524622597193,9719.043333333331,9864.66
1582452000,2020-02-23 11:00:00,BTC/USD,9915.98,10024.08,9859.02,9878.31,4127826.73,415.41,9965.21,-72.10358823529532,-0.427761670394424,1.0,21.74756226478564,98.50681481806076,9790.641,18.692366136488964,-41.90255031821107,9756.662888888888,9878.31
1582498800,2020-02-24 00:00:00,BTC/USD,9922.66,10002.18,9839.13,9965.21,2575702.21,258.25,9754.87,-18.944647058826376,-0.2236819096004511,1.0,30.4350813129594,100.31847090248505,9782.703,18.13484085140233,-21.93944041534087,9806.29111111111,9965.21
1582509600,2020-02-24 03:00:00,BTC/USD,9911.95,10027.66,9586.5,9754.87,7317345.13,750.92,9770.82,41.8840588235289,-0.2328357978682402,0.5125727532167235,7.972317820858922,97.61358012373616,9766.244,17.784612082932675,-22.82806438984153,9804.153555555557,9754.87
1582531200,2020-02-24 09:00:00,BTC/USD,9753.07,9803.3,9677.26,9770.82,1980898.2,202.8,9752.5,62.111058823527856,-0.2243627967808131,0.5483390388915803,10.015879679580744,94.10046725775489,9743.7565,17.184149566681373,-21.99176620017897,9804.236444444445,9770.82
1582549200,2020-02-24 14:00:00,BTC/USD,9802.5,9850.0,9697.86,9752.5,3711262.04,379.22,9598.64,45.650470588234384,-0.2301168314044072,0.5079537099883804,10.13283830032489,93.03471959648672,9724.463,16.291865628239062,-22.547352904000945,9799.203111111112,9752.5
1582563600,2020-02-24 18:00:00,BTC/USD,9650.5,9836.38,9573.94,9598.64,4823103.57,501.0,9587.52,12.141941176470937,-0.3577416317366907,0.1949996018641899,-7.997122865873328,92.38081105388046,9695.9785,15.553703856928353,-34.99942393515448,9762.588444444444,9598.64
1582574400,2020-02-24 21:00:00,BTC/USD,9592.99,9648.35,9480.0,9587.52,1620538.26,168.58,9536.84,-52.78464705882288,-0.4631373188012393,0.0,-26.78562174272502,89.33289597860336,9694.24,15.97565675423776,-45.243531735231954,9725.916222222222,9587.52
1582610400,2020-02-25 07:00:00,BTC/USD,9564.1,9676.56,9500.0,9536.84,4167667.23,437.91,9637.52,-121.49611764705878,-0.5824277469792121,0.0,-43.60487070654615,89.31197483727449,9691.295999999998,16.14237939006581,-56.79679531950569,9680.615333333331,9536.84
1582628400,2020-02-25 12:00:00,BTC/USD,9560.0,9658.31,9480.0,9637.52,4363785.35,456.51,9400.13,-149.80441176470595,-0.586761678477104,0.303264218955442,-39.62218541669808,91.60897663461198,9694.5885,16.400792179933408,-57.169787639726565,9659.022222222224,9637.52
1582639200,2020-02-25 15:00:00,BTC/USD,9568.73,9682.73,9350.0,9400.13,7397422.27,783.67,9312.47,-181.64605882352956,-0.7794684131098206,0.0,-50.836915726407085,88.29476401785392,9684.5465,16.427347413083396,-75.74760455568503,9594.998666666666,9400.13
1582646400,2020-02-25 17:00:00,BTC/USD,9388.59,9521.09,9288.42,9312.47,9409193.71,1000.03,9381.11,-235.7655294117667,-0.9953985135317216,0.0,-57.18864388634836,90.62799515943586,9670.337,17.349546271343304,-96.43247416726808,9524.069333333337,9312.47
1582664400,2020-02-25 22:00:00,BTC/USD,9324.67,9409.16,9234.21,9381.11,5313900.05,569.53,9190.99,-271.7397058823517,-1.0973916486689297,0.1551068172764371,-45.58058072541487,91.06099550519048,9657.5625,18.716637474285506,-106.06406746218818,9481.373333333331,9381.11
1582682400,2020-02-26 03:00:00,BTC/USD,9188.96,9420.4,9092.0,9190.99,6024389.38,658.39,9173.19,-307.51288235294123,-1.3246929183363811,0.0,-57.59111097094763,87.36306725481965,9640.6715,19.8805411562867,-127.56774804980704,9408.959111111111,9190.99
1582704000,2020-02-26 09:00:00,BTC/USD,9126.79,9217.43,9096.79,9173.19,4764424.82,521.38,9268.53,-370.5547647058811,-1.5045778353461363,0.0,-67.47035214019056,83.01141959376115,9613.769,21.76859786177284,-144.3815405552068,9345.87,9173.19
1582718400,2020-02-26 13:00:00,BTC/USD,9142.66,9280.33,9021.22,9268.53,9532465.48,1039.01,9021.07,-421.3974117647067,-1.5493703691765504,0.1996520919522713,-45.645502262231446,84.73488962277817,9591.922,22.94850032738285,-148.30389604456286,9314.722444444446,9268.53
1582725600,2020-02-26 15:00:00,BTC/USD,9072.4,9273.99,8961.53,9021.07,7017993.84,777.6,8736.63,-442.1003529411773,-1.7776294051013948,0.0,-111.20192765181022,79.07239750686539,9557.1715,24.07021636889308,-169.42729255565973,9241.418666666666,9021.07
1582732800,2020-02-26 17:00:00,BTC/USD,8975.93,9038.67,8627.78,8736.63,20970150.94,2391.63,8828.07,-482.1768823529401,-2.1825534568845857,0.0,-128.4089039076911,74.68151197066074,9509.196500000002,25.950223666153903,-206.7365372004715,9123.814666666667,8736.63
1582740000,2020-02-26 19:00:00,BTC/USD,8723.48,8835.08,8644.45,8828.07,3325330.54,379.38,8784.64,-558.2288235294109,-2.401365528199353,0.1909697418742192,-103.21575169718372,76.3792611156136,9467.8325,28.23207037495896,-226.31709597118788,9042.28111111111,8828.07
1582754400,2020-02-26 23:00:00,BTC/USD,8740.56,8850.34,8707.05,8784.64,1952582.07,222.91,8678.0,-590.3312352941157,-2.5865448964370428,0.1770118904066737,-142.82219974548804,72.5143138930698,9422.186,30.21485173444514,-242.54337881466927,8970.049333333332,8784.64
1582765200,2020-02-27 02:00:00,BTC/USD,8636.43,8830.03,8520.0,8678.0,5552692.22,646.43,8805.48,-637.1568235294126,-2.7988188376923686,0.0745639805481246,-126.91674736494416,70.57686290070775,9362.853,32.10944338931692,-260.9991459562607,8890.167111111112,8678.0
1582783200,2020-02-27 07:00:00,BTC/USD,8753.64,8817.91,8636.04,8805.48,4416190.59,502.36,8740.54,-686.8272352941185,-2.8245941627631743,0.3854738741179651,-75.64322223546203,75.52922983637147,9309.2115,33.902100325378434,-262.3150986061555,8849.880222222222,8805.48
1582794000,2020-02-27 10:00:00,BTC/USD,8780.98,8850.34,8740.54,8740.54,2239466.6,254.63,8776.36,-699.2991176470587,-2.87180254480466,0.3129357797151855,-111.69045741428708,73.33857056234498,9247.978,35.22759629183465,-265.53716864688613,8809.397111111111,8740.54
1582804800,2020-02-27 13:00:00,BTC/USD,8808.69,8939.18,8732.89,8776.36,7516313.52,852.9,8920.0,-657.5767647058838,-2.84619037452667,0.6353552082611944,-54.90355063026318,82.28867266503458,9199.052500000002,35.56755503971333,-262.1780819990636,8786.088,8776.36
1582822800,2020-02-27 18:00:00,BTC/USD,8941.88,8974.75,8745.0,8920.0,2693495.93,301.77,8757.57,-613.5112352941178,-2.6670451907934023,1.0,-2.536115448572013,90.58162461753209,9156.5115,35.54254949930988,-245.10007300718823,8800.325333333334,8920.0
1582837200,2020-02-27 22:00:00,BTC/USD,8880.08,8941.38,8740.54,8757.57,5765281.19,653.82,8897.78,-570.8553529411765,-2.6412556121385973,0.7076755328189684,-26.532607026413302,85.63865143056545,9106.765,35.67331478556841,-241.88408222429644,8789.821777777779,8757.57
1582851600,2020-02-28 02:00:00,BTC/USD,8858.48,8900.94,8675.31,8897.78,729707.95,82.38,8597.07,-530.5631764705904,-2.4666997828627086,1.0,-8.60047242625651,89.76231918552512,9071.722,35.98092952155678,-225.4230742636355,8813.215777777777,8897.78
